header,category,location,title,description,website_url,image_url,youtube_url
나의,강남구,,코엑스-잠실운동장 일대 국제복합지구 조성,,,,
나의,강남구,,한강-탄천 재탄생,,,,
나의,강남구,,GTX-E 강남구-서초구 경유,,,,
나의,강남구,,GTX-D 김포-강남-강동-하남 연장,,,,
나의,강남구,,위례신사선 청담사거리역 신설,,,,
나의,강남구,,위례과천선 조기 착공,,,,
나의,강남구,,수서역세권 로봇거점지구,,,,
나의,강남구,,개포 도시개발사업 성공 지원,,,,
나의,강남구,,수서역세권 복합문화시설 조성,,,,
나의,강동구,,GTX-D 김포-강남-강동-하남 연장,,https://www.seoul2030.com/61,https://cdn.imweb.me/thumbnail/20220510/2e6738c423b2d.png,
나의,강동구,,9호선 연장 조기완공,,https://www.seoul2030.com/61,https://cdn.imweb.me/thumbnail/20220510/2e6738c423b2d.png,
나의,강동구,,5호선 굽은다리역-둔촌동역 직결화,,https://www.seoul2030.com/61,https://cdn.imweb.me/thumbnail/20220510/2e6738c423b2d.png,
나의,강동구,,재건축 규제완화,,https://www.seoul2030.com/61,https://cdn.imweb.me/thumbnail/20220510/2e6738c423b2d.png,
나의,강동구,,성내2동 복합문화체육시설 설치,,https://www.seoul2030.com/61,https://cdn.imweb.me/thumbnail/20220510/2e6738c423b2d.png,
